Customer_Name,Street_Address,City,State,Zipcode,Age,Income,Payment_History,Number_of_Open_Credit_Cards,Credit_Score,Total_Debt,State_FIPS,Region_FIPS
Nelly Darrington,39 Northwestern Cross,Dayton,OH,45440,21,76868,1,3,338,386823,39,2
Michal Batcock,35 Independence Stree,Indianapolis,IN,46207,46,149675,0.85,0,667,246869,18,2
Remington Hanwright,25035 Vera Trail,Greenville,SC,29615,65,63510,0.85,14,670,344477,45,3
Billie Durman,046 Pennsylvania Stre,Akron,OH,44321,56,58897,1,0,306,308700,39,2
Trescha Pikesley,3166 Kim Drive,Lubbock,TX,79405,58,122726,0.72,2,425,2280,48,3
Brodie Fern,3 Sycamore Court,New Hyde Park,NY,11044,23,43720,0.7,9,386,409545,36,1
Marina Pipping,1 Meadow Vale Drive,El Paso,TX,88541,49,70144,0.7,10,374,4313,48,3
Noelle Rockall,78 5th Junction,Chicago,IL,60652,69,114351,1,2,346,167186,17,2
Mabel Monkeman,20824 Spenser Parkway,Cleveland,OH,44118,67,91046,0.7,8,372,64020,39,2
Dusty Drinkale,581 Corben Way,Los Angeles,CA,90025,73,28446,0.98,11,767,215161,6,4
Odessa Greenhaugh,901 Walton Crossing,Trenton,NJ,8650,65,58431,0.7,15,383,54343,34,1
Devlen Atwater,06320 Dapin Junction,Vero Beach,FL,32969,67,40013,0.74,14,430,194848,12,3
Gunter Heiden,1376 Carberry Terrace,Brooklyn,NY,11210,63,29894,0.77,13,528,96440,36,1
Saleem O'Dare,9322 East Point,Houston,TX,77212,66,77404,1,9,345,448591,48,3
Loydie Lahiff,7392 Thompson Way,Tulsa,OK,74103,76,122482,0.76,1,507,443,40,3
Kimberlee Baake,7 2nd Crossing,New Orleans,LA,70174,44,74227,0.75,14,494,88599,22,3
Patience Dagg,788 Anderson Drive,Saint Louis,MO,63180,76,105586,0.83,10,651,255067,29,2
Brennan Yuryev,084 Columbus Pass,Pasadena,CA,91103,45,127902,0.8,12,593,62049,6,4
Bronny Jaggar,54693 Sauthoff Lane,Kansas City,MO,64160,26,102086,0.76,12,507,309879,29,2
Garold Macguire,344 Annamark Center,Atlanta,GA,30301,66,94398,0.99,7,806,441662,13,3
Jasmin Pauer,79 Hoffman Way,Topeka,KS,66699,62,131387,1,8,346,206758,20,2
Jeanelle Kaasmann,98701 Sachtjen Circle,Bronx,NY,10454,23,77149,0.78,2,563,480694,36,1
Wernher Dockrell,224 Rieder Center,Muncie,IN,47306,27,84440,0.75,11,451,180488,18,2
Florence Aves,31104 Delaware Crossi,Albuquerque,NM,87140,30,94161,1,8,849,429634,35,4
Byram Koche,7180 Kedzie Alley,Washington,DC,20215,76,102909,0.76,15,523,227287,11,3
Janek Matchitt,82 Lakewood Park,Albuquerque,NM,87190,44,133346,0.7,11,361,12426,35,4
Connor Bondar,84 Gateway Crossing,Oxnard,CA,93034,21,136987,1,5,828,486433,6,4
Annabela Keach,19 Hooker Pass,Dallas,TX,75241,32,149960,0.85,13,661,118515,48,3
Drake Clarkin,057 Moland Center,Las Vegas,NV,89115,61,56021,1,9,836,148483,32,4
Lona Pirdue,069 Little Fleur Cent,West Hartford,CT,6127,69,35264,0.7,0,379,371312,9,1
Obadias Blissitt,9 Gateway Street,Baton Rouge,LA,70826,79,33759,0.76,12,505,420942,22,3
Flemming O'Harney,71113 Hermina Lane,Charlotte,NC,28205,57,107530,0.82,5,618,435778,37,3
Lyndell Ruckledge,5 Lillian Pass,Spokane,WA,99215,63,69557,0.77,7,534,118655,53,4
Nikkie Gwilliams,1703 Buena Vista Park,Rochester,NY,14652,21,59241,0.76,10,505,195539,36,1
Daniela Dood,5 Grayhawk Circle,Tucson,AZ,85715,68,115199,0.74,2,439,494059,4,4
Janice Breitler,819 Monument Point,Houston,TX,77240,30,147731,1,3,344,20913,48,3
Garey Vispo,87119 Lyons Plaza,Indianapolis,IN,46226,69,139282,0.88,8,690,108672,18,2
Kent Lodo,88680 Northfield Park,Spokane,WA,99220,42,89426,0.77,15,530,104198,53,4
Astra Woodyear,692 Kim Place,Chesapeake,VA,23324,58,119305,0.96,2,742,2224,51,3
Bradan McNelly,95 Delladonna Point,Albany,NY,12247,69,140567,0.83,13,645,370768,36,1
Homere Pennycuick,91 Nancy Point,Madison,WI,53790,59,112966,0.98,13,766,26105,55,2
Aurilia Freathy,7338 Spaight Avenue,Baton Rouge,LA,70815,33,76860,1,7,310,198655,22,3
Rorke Huglin,3 Maywood Street,Bronx,NY,10469,45,34048,0.83,5,628,79914,36,1
Laurie Arnell,434 Northport Court,Seattle,WA,98121,39,30518,1,10,312,223685,53,4
Giustina Tomkins,8931 Dunning Point,Rockville,MD,20851,49,59905,0.98,14,787,45118,24,3
Delora Cranefield,78693 Brown Lane,Amarillo,TX,79159,57,148012,0.96,4,735,306827,48,3
Rafaellle Garvin,34281 Jana Street,Beaumont,TX,77705,23,63836,0.82,8,623,75372,48,3
Theodore Bellin,19 Prentice Terrace,Shawnee Missi,KS,66220,26,100451,0.76,2,514,42411,20,2
Angelico Seathwright,8 Bluestem Crossing,Palm Bay,FL,32909,71,65823,0.96,14,734,177746,12,3
Hewett Welberry,0594 Farwell Circle,Tulsa,OK,74103,75,107359,0.85,3,664,346160,40,3
Jody Willerstone,0 Doe Crossing Circle,Sioux Falls,SD,57188,28,30912,0.98,7,798,394670,46,2
Blanche Kingerby,9351 Buhler Hill,Atlanta,GA,30356,78,106127,0.7,15,393,83273,13,3
Violetta Goodfellow,54735 Ramsey Place,Las Vegas,NV,89135,48,61961,0.92,6,722,89487,32,4
Baily Metzing,072 Park Meadow Terra,Tucson,AZ,85754,22,122796,0.77,5,530,20692,4,4
Fina Malamore,275 Hoffman Pass,Miami,FL,33196,30,100195,0.72,7,421,339096,12,3
Phil Nell,4985 Sloan Place,Lakeland,FL,33811,78,113490,1,7,850,417789,12,3
Bobine Brilleman,69927 Northridge Cent,Detroit,MI,48295,80,36286,0.76,2,501,331356,26,2
Karel Woodwin,700 Gina Street,Tucson,AZ,85732,72,52962,1,9,312,39739,4,4
Winfield Hrinchishin,287 Springs Pass,Albany,NY,12232,78,79059,0.8,8,591,190213,36,1
Freeman Bowkett,4924 Nevada Pass,Denver,CO,80223,37,64169,0.96,14,731,465541,8,4
Hyman Cartner,63 Charing Cross Trai,Richmond,CA,94807,46,108427,0.76,14,515,29841,6,4
Brendan Amsden,542 Almo Alley,Atlanta,GA,30316,24,102437,0.83,6,643,485310,13,3
Madonna Jakubski,5036 Blue Bill Park A,Charlotte,NC,28235,75,147528,0.83,4,632,456283,37,3
Konstantin Jeannaud,34906 Thackeray Parkw,Austin,TX,78754,33,114285,0.72,3,401,230605,48,3
Berny Proschek,21 Algoma Drive,Port Washingt,NY,11054,29,93436,0.7,12,375,105888,36,1
Devlen Beswetherick,95 Shopko Terrace,Houston,TX,77201,46,57516,0.98,9,796,235123,48,3
Merle Duell,75 Melrose Lane,Norwalk,CT,6859,52,110961,1,4,849,414255,9,1
Fairfax Human,003 Dovetail Park,Columbus,OH,43226,43,104095,0.82,12,617,424056,39,2
Konstantine Swaddle,4251 International Po,Bethlehem,PA,18018,50,87217,0.82,4,625,309726,42,1
Jacenta Olner,87102 Esker Place,Pompano Beach,FL,33064,64,117505,0.83,0,641,286772,12,3
Candi Greenaway,43846 Southridge Driv,Richmond,VA,23260,28,79774,0.83,2,629,314573,51,3
Natasha Maddyson,9726 Sundown Alley,Boise,ID,83705,28,73813,0.85,4,664,223263,16,4
Garrek Ridel,144 Waubesa Park,Chicago,IL,60624,80,130370,0.75,5,477,409748,17,2
Dawna Antoniak,8 Melody Avenue,Rochester,NY,14609,47,54347,0.82,14,606,129385,36,1
Debera Van den Velden,9 Mayer Crossing,Omaha,NE,68105,58,69918,0.77,0,549,282587,31,2
Aubine Crosetti,54 3rd Road,Brooklyn,NY,11205,48,137897,0.75,10,467,412201,36,1
Sauncho Downing,5 Steensland Parkway,Dayton,OH,45426,80,82851,0.7,13,373,15033,39,2
Westleigh Jobson,61438 Maple Wood Cent,Seattle,WA,98109,37,27583,0.7,8,384,115461,53,4
Mignon Koschek,825 Montana Park,Madison,WI,53785,46,44491,0.96,8,741,307483,55,2
Meagan Cabedo,048 Sage Center,Philadelphia,PA,19125,38,81329,0.82,6,625,92472,42,1
Abner Quarrell,8 Straubel Center,San Antonio,TX,78250,38,38716,0.77,9,540,37362,48,3
Latrina Cregeen,79 Lawn Avenue,Cincinnati,OH,45264,62,48272,0.88,15,696,499810,39,2
Erinna Noel,27737 Linden Avenue,Lexington,KY,40505,55,106343,0.76,4,525,497545,21,3
Clemente Batt,39166 Havey Center,Portland,OR,97201,32,78146,0.88,10,697,252579,41,4
Bondie Summerrell,79758 Becker Crossing,Atlanta,GA,30311,24,125660,0.99,0,812,333054,13,3
Coral Barracks,714 Sundown Center,Rochester,NY,14639,44,131937,0.8,0,587,312146,36,1
Ethelind Rait,15 Leroy Circle,Los Angeles,CA,90010,20,73576,0.74,14,449,382450,6,4
Kerstin Sexstone,4708 Hudson Hill,Phoenix,AZ,85010,74,129574,0.92,12,710,426434,4,4
Terry Coulthart,1914 Huxley Parkway,Saint Paul,MN,55188,41,126083,0.7,14,368,64284,27,2
Nettle Hirjak,39468 Manley Lane,Washington,DC,20599,42,120529,0.85,4,664,156382,11,3
Melvin Lorman,9748 Macpherson Pass,Portland,OR,97232,60,101039,0.77,4,535,160418,41,4
Dolli Lambertson,31822 Holy Cross Way,Washington,DC,20231,66,81971,0.8,9,595,206045,11,3
Peggy Hawkwood,6 Old Shore Lane,Allentown,PA,18105,55,40321,0.99,9,824,215142,42,1
Tonya O' Donohue,9 Gateway Alley,Las Vegas,NV,89155,65,73194,0.82,6,619,188387,32,4
Stella Lomath,03664 Mockingbird Cro,Rockford,IL,61105,25,109825,0.88,11,692,265860,17,2
Marcela Joust,7091 Ludington Hill,Irving,TX,75062,69,100395,0.82,10,602,17477,48,3
Bobby Borzone,07137 Mendota Crossin,Lynchburg,VA,24503,62,84696,0.96,4,747,187997,51,3
Albie Hagger,36 Duke Road,Buffalo,NY,14276,33,105181,0.8,8,581,242175,36,1
Miranda Harcus,08454 Fair Oaks Way,Newark,NJ,7112,52,107533,0.77,15,534,103759,34,1
Thurstan Renner,5552 Bultman Trail,Henderson,NV,89074,40,120700,0.76,9,515,256163,32,4
Ase Eisikowitch,16048 Corben Drive,Houston,TX,77025,42,101059,0.99,5,821,107981,48,3
Rod Brisse,6348 Delaware Way,Huntington,WV,25775,64,110771,0.98,5,766,385140,54,3
Janka Leif,70 Monica Point,San Bernardin,CA,92410,27,51209,0.8,5,578,16386,6,4
Blondelle Boord,70 Rieder Point,Beaufort,SC,29905,30,143494,0.92,4,707,10574,45,3
Ludwig Eastcourt,1223 Magdeline Point,Atlanta,GA,31106,39,86332,0.8,12,595,301937,13,3
Tracie Yakhin,85 Lukken Circle,Asheville,NC,28815,74,32614,0.75,8,487,366786,37,3
Olive Waleworke,1 Esch Hill,Washington,DC,20414,69,134083,0.75,3,485,479371,11,3
Agnese Nosworthy,34454 Dorton Drive,Lafayette,LA,70593,73,50965,1,0,314,354633,22,3
Jenda Knappe,259 Westend Lane,Trenton,NJ,8619,80,68074,0.98,8,762,401195,34,1
Hilarius Ameer-Beg,79 Sloan Center,Milwaukee,WI,53220,43,26102,0.77,9,533,410666,55,2
Brett Soane,275 Warrior Street,Columbus,OH,43204,57,104238,0.92,4,713,26825,39,2
Berni Landal,37 Hoffman Parkway,Houston,TX,77299,21,71539,0.76,15,501,186486,48,3
Moreen Abreheart,929 Rutledge Center,Savannah,GA,31422,60,55290,0.8,13,594,14032,13,3
Rees Kingsmill,43298 Oak Valley Poin,Philadelphia,PA,19151,73,134772,0.76,2,504,485071,42,1
Tiffanie Nicholls,86 Southridge Plaza,Jamaica,NY,11407,80,100232,0.85,10,666,472686,36,1
Yvette Glencross,4384 Nancy Circle,Arlington,VA,22225,33,67112,0.82,15,624,47617,51,3
Trisha Atrill,39442 Holy Cross Cros,Springfield,IL,62705,31,106503,0.72,4,404,174470,17,2
Brennan Cromblehome,41 Crowley Pass,Providence,RI,2912,43,58997,0.78,5,553,199385,44,1
Porty MacLice,2446 Ramsey Road,Dallas,TX,75392,72,140934,0.72,6,425,235139,48,3
Jonah Seeler,21817 Old Shore Park,Charleston,WV,25336,74,107888,0.75,5,457,345745,54,3
Bernelle Cottom,29560 Monterey Lane,Tampa,FL,33661,44,121693,0.75,1,452,278283,12,3
Alida Diche,771 Sunnyside Lane,Lynn,MA,1905,69,84642,1,2,315,244095,25,1
Kimberley Race,23 Northview Alley,Trenton,NJ,8650,33,139483,0.75,10,492,105649,34,1
Sandye Axell,5 Corry Drive,Salinas,CA,93907,41,116650,0.74,15,441,459381,6,4
David Beushaw,25042 Spenser Parkway,Columbus,OH,43268,59,142279,0.88,3,691,18948,39,2
Randell Blankley,44738 Moulton Junctio,Oklahoma City,OK,73119,75,73331,0.82,14,611,222780,40,3
Morten Willacot,27224 Pearson Lane,Gainesville,FL,32605,21,120128,0.83,11,651,439272,12,3
Vlad Shipperbottom,5 Sundown Circle,Greeley,CO,80638,36,142975,0.83,9,627,260171,8,4
Buckie McWhin,607 Kings Plaza,Miami,FL,33180,42,73707,1,6,335,470756,12,3
Seymour Carolan,63 Troy Way,Las Vegas,NV,89150,76,74227,0.75,6,500,31439,32,4
Iris Durdle,359 Summerview Crossi,Brooklyn,NY,11254,25,132301,0.72,3,410,462164,36,1
Sella Dines,1 Glacier Hill Pass,Portland,OR,97216,72,109879,0.78,4,555,118128,41,4
Janel Hatchman,6757 Ludington Alley,Saint Paul,MN,55146,67,68545,0.92,4,722,154767,27,2
Wynne Pourveer,02817 3rd Drive,Atlanta,GA,30358,67,50064,0.74,15,428,85377,13,3
Bride Fere,065 Waxwing Pass,Waco,TX,76705,71,134790,0.83,7,638,183361,48,3
Anderea Marqyes,510 Oneill Trail,Indianapolis,IN,46231,21,71122,0.88,4,687,228537,18,2
Yorker Cristofanini,3 Superior Terrace,Hayward,CA,94544,75,123468,0.7,11,383,477418,6,4
Charis Maier,4 Green Ridge Plaza,Saint Cloud,MN,56398,52,130705,0.7,14,362,317923,27,2
Palmer Canton,0402 Reinke Hill,Fresno,CA,93794,31,77694,0.75,9,477,161117,6,4
Loise Romeril,07856 Sycamore Juncti,Miami,FL,33147,64,49060,0.92,14,724,45760,12,3
Uriel Ewenson,4505 Kinsman Trail,Boston,MA,2203,43,105316,0.99,12,801,73885,25,1
Bel Daubney,933 John Wall Alley,Birmingham,AL,35236,63,133801,0.98,5,771,152926,1,3
Andi Hessentaler,1372 Harper Way,Maple Plain,MN,55579,75,40010,0.83,5,652,171872,27,2
Gene Alliban,1 Glendale Drive,Pittsburgh,PA,15240,42,94444,1,5,344,425010,42,1
Trenna Paton,0 East Road,Nashville,TN,37205,32,71078,0.98,3,782,493392,47,3
Noreen Riddock,32721 Straubel Plaza,Miami,FL,33111,39,52575,0.76,5,516,415270,12,3
Tommy Derry,30 Jenna Center,Reno,NV,89505,50,144862,1,2,845,66503,32,4
Wallis Huckstepp,88 Melrose Place,Washington,DC,20557,21,120747,1,13,310,472222,11,3
Giulietta Mecchi,89736 Norway Maple St,Mesquite,TX,75185,37,121014,0.88,0,692,137384,48,3
Manny Chapelle,2968 Morningstar Stre,Pittsburgh,PA,15286,37,145131,0.8,14,596,433774,42,1
Malena Kroon,554 Holy Cross Trail,Kansas City,MO,64109,23,103100,0.98,10,783,326555,29,2
Bettina Dawber,344 Northview Trail,Kansas City,MO,64109,22,50184,0.98,3,767,240714,29,2
Fredi Carrabott,68869 Burning Wood Wa,Baton Rouge,LA,70836,40,77553,1,9,311,303058,22,3
Latia Easun,3391 Katie Terrace,San Antonio,TX,78296,27,89484,0.78,3,555,293502,48,3
Marco Currey,89 Heath Alley,Miami,FL,33233,50,102691,0.72,15,402,232115,12,3
Malinda Sturton,5 Birchwood Junction,Waterloo,IA,50706,63,69260,0.75,8,457,247784,19,2
Edie Melia,7 Holmberg Place,Rochester,NY,14639,20,91074,0.75,9,470,207600,36,1
Shaylah Stranks,1305 Maple Avenue,Alexandria,VA,22301,49,79526,0.78,13,553,374922,51,3
Reagen Pilsbury,70818 Debs Parkway,Fort Worth,TX,76192,78,48899,0.83,15,633,376286,48,3
Luke Grishakov,674 Maywood Crossing,Salt Lake Cit,UT,84145,79,49873,0.88,10,698,28579,49,4
Kellen Copcutt,9294 Grover Hill,Sunnyvale,CA,94089,22,61171,0.98,4,760,456644,6,4
Gerri Freschini,2 Sullivan Way,Paterson,NJ,7544,61,137960,1,6,308,241594,34,1
Angelique Foye,069 Tennyson Pass,Washington,DC,20231,42,73325,0.74,7,440,309301,11,3
Yorker Caudle,58 Ryan Way,Fort Worth,TX,76115,34,52370,0.82,10,621,246561,48,3
Shannah Bonifas,173 Glacier Hill Driv,Saint Cloud,MN,56372,20,101065,0.96,5,744,476810,27,2
Roddie Burndred,311 Ruskin Road,New York City,NY,10203,53,97000,1,10,844,499364,36,1
Lucine Kildahl,83602 Emmet Parkway,Toledo,OH,43699,43,29448,0.99,6,806,393063,39,2
Mahmud Brellin,37640 Montana Place,Mesa,AZ,85215,55,103289,0.85,2,665,305706,4,4
Isa Kitcatt,07 Arapahoe Court,Roanoke,VA,24040,75,128545,0.92,10,712,384994,51,3
Selma Harly,35154 Sundown Junctio,Fort Lauderda,FL,33305,62,145299,0.88,2,681,206928,12,3
Nichole Venneur,3 Claremont Trail,Mobile,AL,36689,77,103231,0.77,4,548,328770,1,3
Bria Biscomb,325 Ridgeview Court,Fort Lauderda,FL,33355,49,34756,0.82,11,606,180463,12,3
Othelia Flew,598 Warbler Junction,Pensacola,FL,32520,47,87204,0.92,11,718,496399,12,3
Lynnette Bare,3 Shasta Center,Gatesville,TX,76598,25,66130,1,9,307,89313,48,3
Mariel Blodgetts,726 Ridge Oak Alley,Rochester,MN,55905,52,46186,0.77,6,528,132887,27,2
Charlene Timby,92 Valley Edge Alley,Jacksonville,FL,32209,62,140617,0.85,3,657,133290,12,3
Charlotta McGarrahan,714 Myrtle Alley,Long Beach,CA,90805,54,122399,1,1,841,395850,6,4
Karita Whyman,919 Independence Cour,Monticello,MN,55585,22,32110,0.7,3,400,480275,27,2
Vida Engelmann,3355 Banding Trail,Sunnyvale,CA,94089,65,26368,0.75,3,467,496488,6,4
Jillie Paddick,822 Johnson Hill,Anchorage,AK,99507,43,74793,0.92,7,712,475675,2,4
Celestyna Gaskamp,6019 Stang Circle,Glendale,AZ,85311,77,133463,0.78,1,557,182107,4,4
Kirby Tipple,54 Scofield Crossing,Roanoke,VA,24020,52,43070,0.76,4,509,251756,51,3
Bernetta Blakeden,12 Coleman Court,Washington,DC,20088,61,69586,0.92,13,705,420601,11,3
Forrest Sherrington,5477 Red Cloud Road,Springfield,MO,65898,24,105906,0.8,10,596,318140,29,2
Weston Brassington,06322 Raven Plaza,New Orleans,LA,70179,28,30271,0.74,6,442,463648,22,3
Mellisent Lynskey,386 Twin Pines Juncti,Burbank,CA,91505,30,60614,0.98,5,775,52673,6,4
Kinsley Spiniello,39 Northfield Hill,Buffalo,NY,14220,77,46557,0.78,1,558,470105,36,1
Raffarty Ritch,466 Jana Trail,Anderson,SC,29625,25,35763,0.76,0,516,449075,45,3
Derrick McShea,07353 Southridge Aven,Oxnard,CA,93034,46,104110,1,4,837,243284,6,4
Hakeem Kibbey,140 Dexter Lane,Saint Louis,MO,63110,57,78282,0.82,14,607,140004,29,2
Lauraine Iannello,304 Gulseth Lane,Hamilton,OH,45020,22,119091,0.82,0,625,47392,39,2
Frannie Bigrigg,48817 Dayton Road,Columbus,GA,31914,37,123274,0.83,13,649,31872,13,3
Dugald Btham,24329 Emmet Street,Dallas,TX,75246,50,79612,1,0,332,497529,48,3
Lenore Liggens,225 Meadow Vale Place,Chicago,IL,60681,21,49045,0.74,10,431,73041,17,2
Lotta Norcliffe,31 Anthes Plaza,Nashville,TN,37205,40,124840,0.82,3,610,101306,47,3
Laurel Treadgall,594 Corry Court,Montgomery,AL,36134,70,108175,0.98,3,778,267993,1,3
Clari Claricoates,390 Hoepker Point,Pensacola,FL,32590,33,89407,0.75,6,494,466821,12,3
Harlene Culwen,5739 Monument Circle,Houston,TX,77050,57,94216,0.99,10,825,313666,48,3
Phil Marti,8514 Vahlen Junction,Springfield,IL,62711,75,145725,0.7,10,385,78234,17,2
Papagena Ilymanov,83165 Kim Point,Atlanta,GA,30316,30,27285,0.75,14,469,354900,13,3
Tiphanie Chittenden,438 Merchant Crossing,Columbia,SC,29215,28,106024,0.75,15,461,111160,45,3
Hebert Morison,7 Mariners Cove Trail,San Francisco,CA,94137,68,65569,0.96,6,731,15996,6,4
Margaret Van der Beek,06 Erie Drive,San Jose,CA,95118,45,87091,0.7,5,362,226406,6,4
Hester Vint,37984 Fordem Parkway,Vienna,VA,22184,58,59869,0.8,8,600,247477,51,3
Faustina Goodlet,87809 Grasskamp Park,Naples,FL,33961,61,124317,0.76,11,510,130164,12,3
Bethina Hebdon,3 Westridge Drive,San Antonio,TX,78260,60,64316,0.96,13,737,379821,48,3
Tarra Leggett,272 Corben Plaza,Saint Petersb,FL,33705,74,73171,0.99,3,820,335195,12,3
Mirna Basile,5 Sommers Way,Silver Spring,MD,20910,42,38874,0.78,9,553,176727,24,3
Uta Folbig,654 Kennedy Terrace,Jacksonville,FL,32244,59,134830,0.7,15,365,435316,12,3
Ivory Sleaford,706 1st Road,Portland,OR,97221,78,93416,1,2,839,173401,41,4
Emmet Lissenden,4591 Redwing Point,Durham,NC,27717,52,30728,0.98,8,775,435722,37,3
Rabbi Bonhan,74 Atwood Plaza,Washington,DC,20380,56,80617,0.83,8,626,147861,11,3
Ky Mulleary,09 Transport Alley,Boulder,CO,80310,30,89621,0.76,11,518,231046,8,4
Eli Firminger,445 Tennessee Place,Wichita,KS,67205,33,129444,0.78,11,559,479654,20,2
Conni Aleksandrov,75173 Westerfield Lan,Indianapolis,IN,46226,29,89986,0.92,5,706,88054,18,2
Theodoric Woffenden,7139 7th Way,Fresno,CA,93786,29,72755,0.74,13,439,401893,6,4
Lucretia Cogin,1 Summit Lane,Paterson,NJ,7522,42,73527,0.7,2,379,227204,34,1
Leona Van der Kruijs,5896 Sommers Point,Louisville,KY,40293,59,147922,1,1,832,248100,21,3
Tiffani Cranmere,225 Melby Terrace,Boston,MA,2163,72,51466,1,8,301,199656,25,1
Hesther Kealy,0545 Macpherson Stree,Los Angeles,CA,90087,64,80950,0.82,5,606,193683,6,4
Evangelin Aubrun,53 Reindahl Hill,Tulsa,OK,74141,62,45084,0.75,8,472,261961,40,3
Klement Giordano,0 Debs Alley,Iowa City,IA,52245,32,101449,0.75,3,465,149144,19,2
Arleen Fant,214 Wayridge Alley,San Jose,CA,95113,74,149013,0.78,11,575,432019,6,4
Adora Duiged,6988 Eastlawn Way,Fargo,ND,58122,44,142180,0.92,8,713,408855,38,2
Gustav MacTrustrie,46 Ridge Oak Circle,Arlington,TX,76004,72,128403,1,5,836,133351,48,3
Tad Spelman,78057 Independence Hi,Los Angeles,CA,90050,69,134594,0.85,6,667,431503,6,4
Lisette Upfold,94 Hoffman Street,Austin,TX,78754,72,68461,1,3,331,344088,48,3
Scarlett Sterman,29478 Old Shore Stree,Buffalo,NY,14233,62,130092,0.83,10,650,404598,36,1
Omero Easman,87 Tony Alley,Charlotte,NC,28220,78,30343,0.75,10,477,170863,37,3
Banky Lory,8 Gale Drive,Augusta,GA,30919,55,119867,1,1,845,247904,13,3
Danica Barrington,578 Summerview Road,Houston,TX,77040,27,148919,0.7,4,365,11294,48,3
Jocko Desouza,5303 Ryan Pass,Richmond,VA,23285,44,62182,1,15,311,331336,51,3
Maxine Horsell,50 Prentice Place,Dayton,OH,45403,28,105870,0.98,13,793,293346,39,2
Abbey Shulver,905 Golf Plaza,North Little,AR,72118,77,65875,1,15,845,142642,5,3
Kinsley Vidgeon,3 Clemons Crossing,Trenton,NJ,8608,65,38782,0.75,9,460,57644,34,1
Siegfried Slyford,2383 Service Road,Pittsburgh,PA,15210,67,88359,0.78,4,567,398735,42,1
Barney Boobier,7 Brown Drive,Fort Worth,TX,76162,57,53605,0.7,15,383,211853,48,3
Christy Palmer,456 Carberry Way,Baton Rouge,LA,70836,29,136621,1,9,305,452338,22,3
Meridel Badger,5 Anderson Hill,Anchorage,AK,99512,22,70746,1,9,306,6456,2,4
Klemens Leppard,28 Lunder Trail,Jacksonville,FL,32244,22,54297,0.83,15,628,417467,12,3
Jeniece Lethcoe,20854 Jackson Terrace,New York City,NY,10203,51,30875,0.78,5,563,198341,36,1
Nikolaus Hargie,9640 Lerdahl Drive,Garland,TX,75044,63,116175,0.75,8,497,153625,48,3
Lindsey Pauluzzi,4 Sloan Way,Stockton,CA,95298,20,112982,0.88,10,698,165426,6,4
Idette Conradie,6549 Huxley Avenue,Garden Grove,CA,92844,23,29818,0.75,5,456,496824,6,4
Deedee Wofenden,880 Texas Plaza,Birmingham,AL,35254,34,27223,0.75,4,481,486349,1,3
Kellia Casiroli,7 Eagan Road,Louisville,KY,40280,28,79313,0.99,10,810,342040,21,3
Matteo Apfler,7294 Loomis Hill,Aiken,SC,29805,58,44163,0.88,7,691,162418,45,3
Brenden Pybworth,9 Washington Place,Savannah,GA,31405,31,147287,0.92,9,725,451030,13,3
Willi Zellner,0 Southridge Circle,Hagerstown,MD,21747,62,149359,0.88,8,681,427056,24,3
Travus Wyne,196 Emmet Drive,Nashville,TN,37250,42,94262,0.98,3,762,464692,47,3
Fayth Axford,3246 Thackeray Court,San Jose,CA,95113,32,120983,0.82,1,619,229814,6,4
Christiano Sudworth,08 Meadow Ridge Stree,West Hartford,CT,6127,73,53347,0.98,5,757,475257,9,1
Clarice Wetherburn,7 Lakewood Hill,Columbia,SC,29220,37,57467,0.98,8,794,494345,45,3
Scarface Berrycloth,5390 Dakota Terrace,Albuquerque,NM,87195,67,57167,1,1,306,183705,35,4
Beatriz Ancell,80683 Eagan Point,Katy,TX,77493,76,118519,1,0,322,390647,48,3
Balduin Brotherick,1 Center Lane,Tampa,FL,33605,38,39191,1,12,303,439271,12,3
Elsinore Carrell,830 Wayridge Lane,Fresno,CA,93709,48,116704,0.7,8,375,201089,6,4
Cherish Middas,302 Farmco Road,Fort Lauderda,FL,33355,80,86589,0.75,15,453,479709,12,3
Hanson Drewell,4 Artisan Terrace,Jacksonville,FL,32220,44,33965,0.75,4,490,469155,12,3
Carson Toretta,94 Coleman Lane,Roanoke,VA,24004,43,126477,0.77,0,532,57352,51,3
Spense Keyson,60 Hazelcrest Road,Erie,PA,16510,72,115050,0.98,11,768,485020,42,1
Elane Geffinger,6 Karstens Pass,Boca Raton,FL,33432,79,112060,0.77,15,543,185871,12,3
Luciano Grinnell,5 Shoshone Way,Cincinnati,OH,45203,28,113111,1,1,350,104826,39,2
Jodi Frow,9696 Nelson Center,Spokane,WA,99260,24,34707,1,5,845,414698,53,4
Maxy Goldsbrough,789 Del Mar Way,Los Angeles,CA,90050,47,35040,0.75,1,484,469429,6,4
Victoria Costelow,5 Carey Way,Saint Paul,MN,55146,49,119248,0.74,12,440,187466,27,2
Tony Jordin,24703 Esch Road,Levittown,PA,19058,59,52500,0.85,14,664,330468,42,1
Selena Mabone,580 Dapin Alley,San Diego,CA,92176,70,124689,0.92,10,711,434201,6,4
Jocelin Valti,0364 Kedzie Drive,Montpelier,VT,5609,46,53540,0.82,13,601,95111,50,1
Zackariah McCormick,3632 Reinke Street,Danbury,CT,6816,27,48389,0.82,7,611,23376,9,1
Huey Pittham,149 Gateway Street,Milwaukee,WI,53263,73,86431,0.72,10,412,28125,55,2
Janis Branson,36830 Lerdahl Hill,Trenton,NJ,8650,58,117547,0.75,14,463,444587,34,1
